"%s already exist","%s już istnieje"
"%s already exists","%s już istnieje"
"-- Please Select --","-- Prosimy wybrać --"
"Add Block Names to Hints","Dodaj nazwy bloków do podpowiedzi"
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Add Store Code to Urls","Dodaj kod sklepu do URL"
"Add New Variable","Dodaj nową zmienną"
"Admin","Administrator"
"Admin Base URL","Bazowy URL dla administratora"
"Admin User Emails","E-maile administracyjne"
"Advanced","Zaawansowane"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Zamiennik tekstowy dla linku do następnej strony w menu paginacji. Jeżeli puste zosstaanie użyty domyślny obrazek strzałki."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Zamiennik tekstowy dla linku do poprzedniej strony w menu paginacji. Jeżeli puste zosstaanie użyty domyślny obrazek strzałki."
"Allow Countries","Dopuść kraje"
"Allowed IPs (comma separated)","Dozwolone IP (oddzielone przecinkami)"
"Allows customers to stay logged in when switching between different stores.","Pozwól klientom pozostać zalogowanym w momencie przechodzenia pomiędzy różnymi sklepami."
"Anchor Text for Previous","Tekst linku dla poprzedniej strony"
"Anchor Text for Next","Tekst linku dla następnej strony"
"Are you sure?","Czy na pewno tego chcesz?"
"Auto-redirect to Base URL","Automatyczne przekierowanie do bazowego URLa"
"Back","Powrót"
"Backup options","Opcje kopii zapasowej"
"Base JavaScript URL","Bazowy URL dla JavaScript"
"Base Link URL","Podstawowy URL dla linków"
"Base Media URL","Bazowy URL dla mediów"
"Base Skin URL","Bazowy URL skórki"
"Base URL","Bazowy URL"
"Before modifying the store view code please make sure that it is not used in index.php","Przed modyfikacją kodu widoku sklepu upewnij się, że nie jest on używany w index.php"
"Before modifying the website code please make sure that it is not used in index.php","Przed modyfikacją kodu strony sklepu upewnij się, że nie jest on używany w index.php"
"Block with name ""%s"" already exists","Blok o nazwie %s"" już istnieje"""
"Blocks HTML output","Blokuje wyjście HTML"
"Browser Capabilities Detection","Wykrywanie możliwości przeglądarki"
"Can't retrieve request object","Nie można pobrać żądanego obiektu"
"Can't retrieve entity config: %s","Nie można pobrać konfiguracji jednostki: %s"
"Cancel","Anuluj"
"Cannot Delete Email Template","Nie można usunąć szblonu e-mail"
"Cannot complete this operation from non-admin area.","Nie można ukończyć tej operacji z nieadministracyjnego obszaru."
"Category object is required for determining product request path","Obiekt kategorii jest wymagany do określenia wywołania produktu"
"Code","Kod"
"Collections Data","Dane kolekcji"
"Configuration","Konfiguracja"
"Controller file was loaded but class does not exist","Plik kontrolera został załadowany jednak klasa nie istnieje"
"Cookie Domain","Domena dla cookie"
"Cookie Lifetime","Czas życia cookie"
"Cookie Path","Ścieżka dla cookie"
"Cookie Restriction Mode","Tryb restrykcyjny dla ciasteczek"
"Copyright","Prawa autorskie"
"Countries Options","Opcje krajów"
"Create Store","Utwórz sklep"
"Create Store View","Utwórz widok sklepu"
"Create Website","Utwórz witrynę"
"Current Package Name","Nazwa obecnego pakietu"
"Custom Design","Indywidualny wygląd"
"Custom admin URL","Indywidualny adres URL admina"
"Custom email 1","Niestandardowy e-mail 1"
"Custom email 2","Niestandardowy e-mail 2"
"Customer support","Wsparcie dla klienta"
"Date From","Data od"
"Date To","Data do"
"Date/time format ""%s"" is not supported.","Format daty/czasu %s"" nie jest obsługiwany."""
"Debug","Debuguj"
"Default","Domyślny"
"Default Description","Domyślny opis"
"Default Keywords","Domyślne słowa kluczowe"
"Default Pages","Domyślne strony"
"Default Robots","Domyślne roboty"
"Default Store","Domyślny sklep"
"Default Store View","Domyślny widok sklepu"
"Default Title","Domyślny tytuł"
"Default country","Domyślny kraj"
"Default No-route URL","Domyślny URL dla braku adresu"
"Default Web URL","Domyślny URL sieciowy"
"Delete","Usuń"
"Delete Store","Usuń sklep"
"Delete Store View","Usuń widok sklepu"
"Delete Website","Usuń witrynę"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Usunięcie %1$s nie spowoduje usunięcia informacji przypisanych do %1$s (np. kategorii,produktów itp). Sugeruje się utworzenie kopii bazy danych przed skasowaniem %1$s."
"Design","Wygląd"
"Design Change","Zmiana wyglądu"
"Developer","Programista"
"Developer Client Restrictions","Ograniczenie dostępu programisty"
"Disable email communications","Zablokuj komunikacje poprzez e-mail"
"Disable modules output","Zablokuj wyjście modułów"
"Display Demo Store Notice","Pokaż informację sklepu demonstracyjnego"
"Duplicate Of Template Code","Duplikat kodu szablonu"
"Edit Design Change","Edycja zmiany wyglądu"
"Edit Store","Edytuj sklep"
"Edit Store View","Edycja widoku sklepu"
"Edit Website","Edytuj witrynę"
"Empty identifier field name","Pusty identyfikator pola nazwa"
"Empty main table name","Pusta nazwa głównej tabeli"
"Enabled","Włączone"
"Enabled for Admin","Włączone dla Panelu Administracyjnego"
"Enabled for Frontend","Włączone dla Katalogu"
"Error in file: ""%s"" - %s","Błąd w pliku: %s"" - %s"""
"Error while saving. Please try again later.","Błąd podczas zapisywania. Prosimy spróbować ponownie póإ؛niej."
"Error: Passwords do not match","Błąd: podane hasła nie są jednakowe"
"European Union Countries","Kraje Unii Europejskiej"
"Exceptions Log File Name","Nazwa pliku log dla wyjątków"
"Favicon Icon","Ikona Favicon"
"First Day of Week","Pierwszy dzień tygodnia"
"Footer","Stopka"
"Forgot Password Email Sender","Nadawca wiadomości o zapomnianym haśle"
"Forgot Password Email Template","Szablon wiadomości o zapomnianym haśle"
"General","Ogólne"
"General Settings","Ustawienia ogólne"
"General contact","Kontakt ogólny"
"Global","Globalny"
"HTML Head","Nagłówek HTML"
"Header","Nagłówek"
"Host","Host"
"How many links to display at once","Ile linków zostanie jednorazowo wyświetlonych"
"Id path for specified store","Identyfikator ścieżki dla okreśonego sklepu"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jeżeli obecna pozycja ramki nie pokrywa większości strony zostaną wyrenderowane linki do aktualnej pozycji plus/minus ta wartość."
"Incorrect credit card expiration date","Nieprawidłowa data wygaśnięcia karty"
"Invalid base url type","Nieprawidłowy typ bazowego adresu"
"Invalid block name to set child %s: %s","Nieprawidłowa nazwa bloku dla ustawienia podrzędnego %s: %s"
"Invalid block type: %s","Nieprawidłowy typ bloku: %s"
"Invalid block: %s","Nieprawidłowy blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Nieprawidłowy argument aktualizacji wyglądu, oczekiwano Mage_Core_Layout_Element"
