"""Remember Me"" Default Value","""Zapamiętaj mnie"" Wartość domyślna"
"(Not %s?)","(Nie %s?)"
"* Required Fields","* Pola wymagane"
"Address","Adres"
"Address Information","Informacje adresowe"
"Already registered?","Już zarejestrowany?"
"Back","Powrót"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Tworząc konto w sklepie zyskujesz możliwość szybszego sfinalizowania transakcji w kasie, zapisania wielu adresów wysyłki, śledzenie swoich zamówień i wiele więcej" 
"Cannot load configuration from file %s.","Załadowanie konfiguracji z pliku %s było niemożliwe."
"Checkout as Guest","Złóż zamówienie bez zakładania kont"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
"City","Miast"
"Clear Persistence on Log Out","Wyczyść zapamiętanie przy wylogowaniu"
"Close","Zamknij"
"Company","Firma"
"Confirm Password","Potwierdź hasło"
"Continue","Kontynuuj"
"Country","Kraj"
"Create an Account","Załóż konto"
"Easy access to your order history and status","Za pośrednictwem swojego konta możesz na bieżąco śledzić etapy realizacji zamówienia"
"Email Address","Adres e-mail"
"Enable ""Remember Me""","Odblokuj opcję ""Pamiętaj mnie"""
"Enable Persistence","Odblokuj opcję zapamiętywania"
"Fast and easy check out","W przyszłości nie musisz wypełniać forumlarzy"
"Fax","Fax"
"Forgot Your Password?","Zapomniałeś hasła?"
"Forgot your password?","Zapomniałeś hasła?"
"General Options","Opcje ogólne"
"If you have an account with us, please log in.","Jeżeli masz u nas konto, zaloguj się."
"Loading next step...","Ładowanie kolejnego kroku..."
"Login","Login"
"Login Information","Informacje o logowaniu"
"Login or Create an Account","Zaloguj się lub utwórz konto"
"New Customers","Nowi klienci"
"Password","Hasło"
"Persist Shopping Cart","Zapamiętaj koszyk"
"Persistence Lifetime (seconds)","Długość zapamiętania (sekundy)"
"Persistent Shopping Cart","Trwały koszyk"
"Personal Information","Dane osobista"
"Please log in below:","Skorzystaj z logowania jeżeli posiadasz już konto w naszym sklepie"
"Please select region, state or province","Wybierz województwo"
"Register","Zarejestruj"
"Register and save time!","Zakładając konto oszczędzasz swój czas!"
"Register to Create an Account","Zarejestruj się i utwórz konto"
"Register with us for future convenience:","Zarejestruj się, aby korzystać z ułatwień:"
"Registered Customers","Zarejestrowanie klienci"
"Remember Me","Zapamiętaj mnie"
"Save in address book","Zapisz w książce adresowej"
"Select State/Province...","Wybierz województwo..."
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub utwórz nowy adres."
"Ship to different address","Dostawa pod inny adres"
"Ship to this address","Dostawa pod ten adres"
"Shopping cart has been updated with appropriate prices","Ceny w koszyku zostały uaktualnione"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"State/Province","Województwo"
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Submit","Wyślij"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Zaloguj się w celu przejśćia do kasy."
"VAT Number","Numer VAT"
"Welcome, %s!","Witaj, %s!"
"What\'s this?","Co to jest?"
"Zip/Postal Code","Kod pocztowy"
